,control1,lps1,control2,lps2,control3,lps3
AKAP17A,2967,2646,2350,2672,3479,2912
AKAP2,32,56,21,68,34,72
AKAP3,51,97,68,190,45,64
AKAP4,0,0,0,0,0,0
AKAP5,79,26,159,40,80,33
AKAP6,674,57,595,73,161,21
AKAP7,264,246,245,506,215,199
AKAP8,2123,1884,1590,1733,1912,1932
AKAP8L,1860,1874,1626,2064,2142,2070
AKAP9,4285,3668,3660,3184,3918,4121
AKIP1,1096,699,1413,933,1095,669
AKIRIN1,5044,7719,5694,9303,5004,8286
AKIRIN2,2789,4129,3162,4230,3452,4641
AKNA,5026,2381,2922,2944,6351,2572
AKNAD1,7,3,3,7,0,7
AKR1A1,5538,3698,5918,2387,6629,3004
AKR1B1,8866,8184,6243,12603,4109,11280
AKR1B10,2,0,5,1,0,1
AKR1B15,0,0,0,0,0,0
AKR1C1,133,148,3765,3468,97,411
AKR1C2,14,3,52,56,32,20
AKR1C3,228,72,303,362,926,536
AKR1C4,1,3,3,3,16,2
AKR1C6P,0,0,3,1,0,0
AKR1CL1,4,2,4,4,10,8
AKR1D1,2,1,0,0,3,1
AKR1E2,26,14,71,73,37,17
AKR7A2,2230,891,3807,1153,1811,1285
AKR7A2P1,7,5,5,9,11,8
AKR7A3,33,13,62,15,22,21
AKR7L,7,4,12,5,12,7
AKT1,6507,3839,6480,4740,7330,4078
AKT1S1,3880,6311,3046,4768,2469,5504
AKT2,4308,3432,3422,3768,3973,3407
AKT3,1422,2273,1165,2483,827,2243
AKTIP,479,507,437,520,491,518
AL022344.4,0,0,0,0,0,0
AL022476.2,4,2,4,2,2,1
AL109763.2,0,0,0,0,0,0
AL121656.5,0,0,0,0,0,0
AL132709.5,0,0,0,0,0,0
AL592528.1,0,0,0,0,0,0
ALAD,2548,1544,2318,1537,2748,1520
ALAS1,13960,27522,28417,24832,10258,31518
ALAS2,7,4,8,16,9,12
ALB,2,0,0,0,0,0
ALCAM,32912,25760,53000,25107,25992,28809
ALDH16A1,1995,1839,1318,1044,2042,1415
ALDH18A1,1876,251,833,196,638,188
ALDH1A1,3648,2388,3084,2106,11074,3411
ALDH1A2,3103,1248,8236,1779,1014,1789
ALDH1A3,28,15,43,57,14,7
ALDH1B1,1374,110,347,46,553,77
ALDH1L1,0,0,0,0,0,0
ALDH1L1-AS1,0,0,0,0,0,0
ALDH1L1-AS2,0,0,0,0,0,0
ALDH1L2,953,531,405,995,524,391
ALDH2,11544,6932,7464,8544,10613,4162
ALDH3A1,3,1,5,4,16,4
ALDH3A2,5503,2711,7024,2876,7154,2979
ALDH3B1,8095,4479,8089,3501,7718,4316
ALDH3B2,0,0,0,0,0,1
ALDH4A1,770,472,1370,382,879,484
ALDH5A1,728,41,1070,55,975,130
ALDH6A1,620,604,787,558,533,415
ALDH7A1,763,72,361,121,464,68
ALDH8A1,4,12,8,13,11,14
ALDH9A1,5138,4012,4394,3058,4682,3901
ALDOA,68662,53449,71690,42627,60468,52282
ALDOB,5,5,2,4,5,5
ALDOC,304,224,175,171,310,250
ALG1,1488,635,988,444,1204,623
ALG10,412,404,338,374,320,443
ALG10B,698,794,690,739,786,973
ALG11,391,527,403,510,417,494
ALG12,1432,1062,1184,960,1593,1142
ALG13,1850,1690,1469,1485,1740,1580
ALG14,497,255,434,188,544,233
ALG1L,4,0,0,0,0,0
ALG1L2,2,0,3,1,2,0
ALG1L9P,23,10,25,10,12,3
ALG2,2164,2235,2134,3224,2632,2404
ALG3,3214,1178,2313,769,2671,1319
ALG5,1405,745,1026,882,1286,752
ALG6,554,531,492,446,514,506
ALG8,2698,1031,3013,1084,2622,1198
ALG9,1061,731,1133,722,1234,839
ALK,30,22,23,13,91,13
ALKBH1,651,802,587,766,630,847
ALKBH2,200,60,137,69,79,64
ALKBH3,818,526,728,551,822,566
ALKBH3-AS1,13,16,14,6,14,18
ALKBH4,314,260,192,219,259,260
ALKBH5,4813,3441,3628,2761,4284,3459
ALKBH6,530,666,669,579,596,820
ALKBH7,788,580,827,408,1003,622
ALKBH8,477,388,322,293,381,338
ALLC,0,0,0,0,0,0
ALMS1,1324,820,956,695,1378,941
ALMS1-IT1,13,10,8,6,12,6
ALMS1P,2,7,0,4,0,1
ALOX12,313,383,199,271,254,299
ALOX12B,0,0,0,1,0,0
ALOX12P2,2,4,4,3,3,4
ALOX15,3,1,6,3,1,5
ALOX15B,765,3232,1665,6070,1383,2733
ALOX15P1,0,0,1,0,3,0
ALOX5,15039,5686,4342,1788,15630,5924
ALOX5AP,5518,5973,2808,3279,8371,16053
ALOXE3,0,0,0,3,0,1
ALPI,0,0,0,0,0,0
ALPK1,2678,2615,3830,2307,2117,2200
ALPK2,11,3,2,40,1,27
ALPK3,153,64,859,133,409,213
ALPL,4,5,30,4,6,14
ALPP,0,0,0,0,0,0
ALPPL2,0,0,0,0,0,0
ALS2,1528,2050,1342,1545,1679,2123
ALS2CL,133,41,98,84,194,62
ALS2CR11,5,12,8,6,7,4
ALS2CR12,50,67,45,55,26,34
ALX1,1,0,0,0,0,0
ALX3,66,48,90,47,56,81
ALX4,1,3,0,4,4,3
ALYREF,1953,1105,1287,929,1462,1234
AMACR,56,41,46,32,73,47
AMBN,0,0,0,0,0,1
AMBP,2,1,1,3,1,0
AMBRA1,1930,2758,1775,3958,2042,2543
AMD1,11013,8100,9112,8365,8563,9572
AMDHD1,180,36,152,43,357,55
AMDHD2,1120,507,929,516,1392,363
AMELX,0,1,0,1,0,0
AMELY,0,0,0,0,0,0
AMER1,411,239,270,391,276,204
AMER2,0,0,0,0,0,0
AMER3,0,0,0,0,0,0
AMFR,5461,5522,7301,7784,5181,5382
AMH,4,6,2,0,2,3
AMHR2,1,0,0,0,0,0
AMICA1,2365,1009,3805,1318,2137,771
AMIGO1,43,14,106,3,60,23
AMIGO2,50,26,31,112,148,37
AMIGO3,193,140,159,158,186,185
AMMECR1,840,456,597,435,652,529
AMMECR1L,1434,1477,1170,1533,1285,1554
AMN,5,12,1,2,4,11
AMN1,169,197,170,177,131,172
AMOT,8,4,8,16,15,3
AMOTL1,327,27,92,9,102,15
AMOTL2,0,3,6,34,0,4
AMPD1,0,0,0,0,0,0
AMPD2,5128,2942,5694,2205,3663,4057
AMPD3,9622,21959,15906,15834,8341,19382
AMPH,15,19,24,13,16,15
AMT,237,169,165,95,185,166
AMTN,0,0,0,0,0,0
AMY1A,0,0,0,0,0,0
AMY1B,0,0,0,0,0,0
AMY1C,0,0,0,0,0,0
AMY2A,0,0,0,0,6,0
AMY2B,320,207,340,193,265,151
AMZ1,370,324,2542,1568,193,422
AMZ2,2132,1389,2900,2244,1768,1505
AMZ2P1,202,160,341,355,197,113
ANAPC1,3001,843,2023,836,1797,949
ANAPC10,407,543,390,489,370,504
ANAPC11,1079,635,836,574,1164,710
ANAPC13,1364,796,1211,1096,1237,671
ANAPC15,234,83,227,84,254,104
ANAPC16,2259,2036,2278,1988,2586,1953
ANAPC1P1,1,0,0,1,1,1
ANAPC2,1585,1217,1124,1251,1622,1373
ANAPC4,1684,1451,1388,1402,1816,1401
ANAPC5,4930,2550,3471,2201,3840,2578
ANAPC7,2778,1657,3225,1230,2558,1728
ANG,67,97,134,459,186,110
ANGEL1,3494,2905,4630,1443,3558,2996
ANGEL2,1124,1171,834,1125,1041,1091
ANGPT1,28,3,3,5,2,0
ANGPT2,5,5,7,6,5,8
ANGPT4,22,2,82,1,80,5
ANGPTL1,2,0,3,0,1,0
ANGPTL2,8,1,8,1,4,0
ANGPTL3,0,1,2,0,1,0
ANGPTL4,9,72,30,184,3,89
ANGPTL5,0,0,0,0,0,1
ANGPTL6,232,105,432,136,486,140
ANGPTL7,2,2,2,2,1,1
ANHX,0,0,0,0,0,0
ANK1,62,51,74,46,21,22
ANK2,132,76,162,26,132,51
ANK3,24,93,15,21,52,123
ANKAR,122,153,156,159,169,137
ANKDD1A,612,445,436,274,761,555
ANKDD1B,5,7,10,11,3,6
ANKEF1,69,8,10,3,39,15
ANKFN1,0,0,0,0,2,0
ANKFY1,7208,7910,5280,8648,7813,7749
ANKH,8918,2160,3790,1510,10507,3755
ANKHD1,205,236,266,239,276,277
ANKHD1-EIF4EBP3,74,85,46,61,62,72
ANKIB1,2660,2588,2363,4125,2280,2349
ANKK1,4,1,0,3,12,6
ANKLE1,322,175,32,143,63,159
ANKLE2,4625,5891,3972,8696,5035,7821
ANKMY1,375,184,316,147,331,224
ANKMY2,1001,585,844,753,925,667
ANKRA2,571,888,623,957,525,836
ANKRD1,6,1039,13,266,11,1502
ANKRD10,2487,2628,2799,3343,2710,2282
ANKRD11,6100,6134,5483,5576,5408,6853
ANKRD12,4087,10148,3638,8238,5696,12888
ANKRD13A,3904,5945,4000,6736,3984,5688
ANKRD13B,89,2,65,4,12,2
ANKRD13C,1657,1631,1703,1446,1773,1864
ANKRD13D,2545,2254,1830,1614,2874,2489
ANKRD16,163,58,97,62,113,61
ANKRD17,10557,8934,8605,7736,8916,9630
ANKRD18A,6,9,5,33,3,3
ANKRD18B,2,0,0,0,0,1
ANKRD18CP,0,0,0,0,0,0
ANKRD18DP,0,7,5,6,2,3
ANKRD19P,16,12,7,24,31,36
ANKRD2,7,7,8,3,1,6
ANKRD20A1,0,0,2,0,7,3
ANKRD20A11P,5,2,1,0,0,0
ANKRD20A12P,0,0,0,0,0,1
ANKRD20A19P,0,0,0,0,0,0
ANKRD20A2,0,0,0,0,0,1
ANKRD20A3,0,0,0,0,0,0
ANKRD20A4,6,1,0,0,9,4
ANKRD20A5P,1,2,4,31,3,3
ANKRD20A8P,0,0,0,0,0,0
ANKRD20A9P,1,0,1,0,0,1
ANKRD22,18,611,17,147,12,560
ANKRD23,101,47,41,39,73,67
ANKRD24,31,20,34,18,20,23
ANKRD26,719,537,431,590,633,646
ANKRD26P1,0,3,1,4,0,3
ANKRD26P3,0,0,0,0,0,0
ANKRD27,1642,1090,1039,1380,1752,1162
ANKRD28,2204,1307,3621,1361,2423,1618
ANKRD29,21,8,34,13,24,21
ANKRD30A,0,0,0,0,0,0
ANKRD30B,0,0,0,0,0,0
ANKRD30BL,0,0,0,0,0,0
ANKRD30BP2,0,0,0,0,0,0
ANKRD30BP3,1,1,6,3,0,0
ANKRD31,3,0,7,0,5,3
ANKRD32,494,225,290,291,307,304
ANKRD33,0,0,0,1,0,1
ANKRD33B,25,603,46,2921,15,521
ANKRD34A,47,26,55,21,34,34
ANKRD34B,1,4,1,1,6,2
ANKRD34C,0,0,1,0,0,0
ANKRD35,51,6,11,1,32,6
ANKRD36,321,132,387,333,450,196
ANKRD36B,477,89,644,170,276,127
ANKRD36BP1,1744,1352,1223,1241,1223,1156
ANKRD36BP2,1,4,2,3,10,10
ANKRD36C,601,245,514,378,555,273
ANKRD37,44,63,61,44,57,73
ANKRD39,256,103,154,145,187,149
ANKRD40,3301,2211,2638,1780,2959,2457
ANKRD42,845,659,629,498,948,756
ANKRD44,2931,4153,3403,3125,3134,3762
ANKRD44-IT1,4,3,3,8,3,3
ANKRD45,2,3,0,19,0,10
ANKRD46,431,331,432,455,368,258
ANKRD49,715,930,711,887,783,940
ANKRD50,2482,965,2168,1097,2828,1144
ANKRD52,6770,5798,5960,7476,6499,6651
ANKRD53,2,1,1,28,4,2
ANKRD54,779,397,420,267,822,719
ANKRD55,8,0,5,0,5,4
ANKRD6,436,222,446,272,516,237
ANKRD60,0,0,0,0,0,0
ANKRD61,30,27,21,31,26,27
ANKRD62,0,0,0,0,1,0
ANKRD62P1-PARP4P3,8,3,4,0,7,3
ANKRD63,97,6,121,13,71,14
ANKRD65,8,3,3,0,0,0
ANKRD66,18,33,20,29,14,31
ANKRD7,0,0,2,1,0,1
ANKRD9,427,227,356,316,448,230
ANKS1A,2014,1868,1155,1817,2174,2005
ANKS1B,0,0,0,0,0,0
ANKS3,330,215,186,139,322,201
ANKS4B,0,0,0,0,0,0
ANKS6,489,49,1309,62,554,135
ANKUB1,0,1,0,0,0,0
ANKZF1,1050,763,836,647,1069,905
ANLN,2195,41,95,47,49,43
ANO1,0,0,1,3,0,0
ANO1-AS2,0,0,0,0,0,0
ANO10,2087,1193,2092,1053,1730,1083
ANO2,2,0,2,0,3,1
ANO3,1,0,0,0,0,0
ANO4,0,0,0,0,0,0
ANO5,862,102,1163,244,941,217
ANO6,13485,9381,12863,9204,12375,9499
ANO7,60,42,23,28,37,52
ANO8,1040,759,774,942,1051,632
ANO9,34,70,119,155,67,98
ANP32A,7133,2819,5175,2502,5863,2694
ANP32A-IT1,220,39,137,49,145,30
ANP32AP1,3,0,1,0,0,1
ANP32B,5489,3692,3847,3260,4248,3771
ANP32C,4,1,3,3,2,1
ANP32D,0,0,0,0,0,0
ANP32E,1759,1679,1227,1909,1252,1834
ANPEP,64721,84398,37526,97361,49304,105437
ANTXR1,190,27,44,22,64,6
ANTXR2,7022,11246,6797,22620,6134,7314
ANTXRL,0,0,1,0,0,0
ANTXRLP1,0,7,2,1,8,3
ANXA1,34750,18055,29468,24910,16473,16708
ANXA10,2,13,2,23,0,8
ANXA11,22274,22490,40251,18560,21743,24573
ANXA13,2,0,0,1,0,2
ANXA2,108937,67687,111834,61958,106120,66016
ANXA2P1,15,4,4,11,10,5
ANXA2P2,468,311,476,311,434,265
ANXA2P3,10,4,3,3,7,0
ANXA2R,16,15,21,29,35,8
ANXA3,0,16,2,96,0,8
ANXA4,4762,3714,5053,6075,5918,3419
ANXA5,44480,56895,45571,52428,51720,61020
ANXA6,2756,1257,1743,7563,5754,1908
ANXA7,5755,6886,4751,7063,5686,6408
ANXA8,0,1,0,1,3,0
ANXA8L1,0,2,0,4,0,0
ANXA9,249,104,208,80,254,113
AOAH,4808,5806,5929,4365,3894,3066
AOAH-IT1,17,19,6,13,9,13
AOC1,320,113,872,487,188,54
AOC2,39,48,30,36,25,37
AOC3,17,30,8,20,31,11
AOC4P,0,0,0,0,0,0
AOX1,73,609,75,284,27,711
AOX2P,1,0,3,2,5,1
AP000289.6,0,0,1,0,0,1
AP000330.8,67,201,109,150,62,179
AP000345.1,0,0,0,0,0,0
AP000469.2,0,0,0,0,0,0
AP000472.2,0,0,0,0,0,0
AP000475.2,0,0,0,0,0,0
AP000479.1,0,0,0,0,0,0
AP000688.14,7,4,8,3,4,2
AP000688.8,0,1,1,0,0,0
AP001258.4,146,133,95,168,100,99
AP003025.2,0,0,0,0,0,0
AP1AR,1929,1050,1405,1125,1624,895
AP1B1,18331,10192,11358,7046,26759,10710
AP1B1P1,0,0,1,0,0,0
AP1G1,9433,8527,9075,8353,9605,9510
AP1G2,1931,2085,1484,2277,2163,2224
AP1M1,3696,3104,2612,3019,3150,3310
AP1M2,204,66,328,107,43,73
AP1S1,3076,1611,2358,1721,2075,1752
AP1S2,13495,6376,6421,3680,10697,7196
AP1S3,590,222,429,386,337,219
AP2A1,7609,9922,6486,8713,6883,10252
AP2A2,8354,3209,3830,3016,11595,3443
AP2B1,6647,6887,6514,7583,7653,6943
AP2M1,18907,14022,14802,12453,17471,13991
AP2S1,7546,3645,5899,3213,7063,4889
AP3B1,7326,6251,7543,5732,6699,5863
AP3B2,39,81,60,68,9,25
AP3D1,14611,10667,13788,8042,13815,11921
AP3M1,5263,5313,6076,4473,5980,6391
AP3M2,1049,934,729,516,689,492
AP3S1,3767,2262,3224,1919,3635,2027
AP3S2,68,85,51,82,130,104
AP4B1,755,587,647,344,634,608
AP4B1-AS1,83,83,93,31,117,72
AP4E1,3294,3050,3547,2667,2090,2642
AP4M1,258,194,169,247,270,233
AP4S1,345,545,472,477,381,512
AP5B1,7073,13103,9023,11937,7166,12902
AP5M1,3274,3367,3815,3951,3017,3231
AP5S1,940,705,918,866,865,794
AP5Z1,2831,3163,1922,2903,3090,3220
APAF1,2179,1914,1608,1828,2577,2473
APBA1,569,215,383,549,1139,246
APBA2,6,75,15,27,58,71
APBA3,733,1251,648,1173,585,1301
APBB1,30,52,63,52,90,68
APBB1IP,6222,803,4833,363,5880,959
APBB2,274,746,819,2058,237,700
APBB3,825,1136,298,1708,1031,1501
APC,4680,4012,4179,3881,4707,4441
APC2,82,120,99,123,141,136
APCDD1,14,0,7,0,1,0
APCDD1L,70,8,65,64,1,13
APCDD1L-AS1,5,3,3,3,3,2
APCS,0,0,0,0,0,0
APEH,5879,2860,4867,2516,5287,2767
APELA,0,0,0,0,0,0
APEX1,7414,1573,4841,1068,6082,1421
APEX2,1680,1492,1321,1396,1475,1512
APH1A,7338,6826,6931,6403,9294,7427
APH1B,1260,1501,911,1570,1748,1970
API5,8387,6649,7324,5631,7367,7031
APIP,1746,1472,1328,1237,1162,885
APITD1,28,15,12,14,19,20
APITD1-CORT,1,0,0,0,0,0
APLF,132,174,147,234,119,165
APLN,24,0,25,0,63,1
APLNR,0,0,0,0,0,0
APLP1,10,8,7,12,5,4
APLP2,69631,57820,83824,64048,80604,65589
APMAP,11663,6504,10210,6924,13467,6269
APOA1,3,5,6,2,1,6
APOA1BP,1748,844,1485,900,1879,1006
APOA2,17,26,3,4,6,6
APOA4,0,0,0,0,0,0
APOA5,0,0,1,0,0,0
APOB,0,0,0,0,0,0
APOBEC1,0,0,0,0,0,0
APOBEC2,28,22,16,16,22,16
APOBEC3A,46,3461,39,8764,87,2220
APOBEC3A_B,0,0,0,0,0,0
APOBEC3B,311,36,20,742,7,69
APOBEC3B-AS1,0,0,0,2,0,0
APOBEC3C,1651,1448,1235,2220,1557,1396
APOBEC3D,35,175,46,392,40,178
APOBEC3F,194,704,170,1669,208,552
APOBEC3G,581,2267,565,4680,649,1765
APOBEC3H,20,55,5,154,13,54
APOBEC4,0,0,0,4,0,0
APOBR,8770,6615,10947,8693,12069,9911
APOC1,6663,1753,13987,2698,15044,3136
APOC1P1,24,9,58,8,38,2
APOC2,0,0,0,0,0,0
APOC3,0,0,0,0,0,0
APOC4,0,0,0,0,0,0
APOC4-APOC2,3,0,4,0,2,3
APOD,45,82,50,87,14,26
APOE,55426,47686,105802,70728,106353,62697
APOF,0,0,0,0,1,1
APOH,0,0,0,0,0,0
APOL1,1029,6306,1190,11534,970,3844
APOL2,2783,5503,3947,8893,2718,4600
APOL3,865,8738,607,6342,458,3934
APOL4,3,55,8,22,4,13
APOL5,0,0,0,0,0,0
APOL6,3830,15317,3984,22333,3645,11346
APOLD1,46,20,37,15,15,9
APOM,30,37,36,21,46,37
APOO,673,945,1289,1664,550,956
APOOL,1619,1167,2011,1073,1506,1230
APOOP5,0,0,0,0,0,0
APOPT1,877,534,855,579,1005,618
APP,19823,15970,20835,19731,12086,14646
APPBP2,2108,2512,1954,2664,2199,2497
APPL1,4488,2405,3415,3157,4837,2096
APPL2,1449,873,1477,868,2874,922
APRT,3689,1055,2616,779,3184,1048
APTX,930,935,960,839,995,973
AQP1,14,0,9,3,2,2
AQP10,0,0,0,0,0,0
AQP11,29,23,17,24,33,20
AQP12A,0,0,1,0,0,0
AQP12B,1,0,0,0,0,0
AQP2,6,0,3,2,4,0
AQP3,179,1037,686,296,175,878
AQP4,0,0,0,1,0,0
AQP4-AS1,0,1,0,2,1,0
AQP5,66,5,36,2,46,0
AQP6,84,5,29,5,61,10
AQP7,0,0,6,0,0,0
AQP7P1,0,0,6,3,1,0
AQP7P3,0,0,2,0,0,0
AQP8,7,0,4,0,1,1
AQP9,18930,32147,36622,35858,16923,40432
AQPEP,6,4,2,4,2,2
AQR,4589,3557,3626,2679,3960,3593
AR,5,23,22,1,4,31
ARAF,3319,3684,3325,3667,3222,4016
ARAP1,22815,25783,26143,17811,21359,25370
ARAP2,2385,2863,5141,9416,1971,3344
ARAP3,1892,1425,2477,1333,1260,2324
ARC,46,1,81,6,4,4
ARCN1,14941,12830,14740,12099,13305,12894
AREG,29,178,125,399,24,221
AREL1,5793,5001,5163,4273,5063,5350
ARF1,22804,24802,24119,22719,21886,25692
ARF3,13418,13092,14276,12252,14699,14762
ARF4,7931,8669,6999,7409,7201,8460
ARF5,3030,2768,3014,2693,3437,2872
ARF6,10314,6566,4960,5590,8692,7431
ARFGAP1,3735,3029,3136,2638,4060,3136
ARFGAP2,3616,3905,3134,3469,3523,3709
ARFGAP3,3420,8017,3904,6026,2945,6788
ARFGEF1,6325,5346,5302,4668,5978,5973
ARFGEF2,8906,6756,9089,5882,8099,7362
ARFIP1,1728,1325,1504,1363,1769,1471
ARFIP2,1897,1169,1252,1101,1459,1215
ARFRP1,993,1196,1019,1214,833,1182
ARG1,7,5,10,6,6,9
ARG2,1267,915,851,787,1314,958
ARGFX,0,2,0,0,1,0
ARGFXP2,7,4,10,11,16,7
ARGLU1,5285,4170,4062,4500,5380,4465
ARHGAP1,4744,2871,4191,2805,3663,2772
ARHGAP10,3473,4828,4743,3666,3878,4833
ARHGAP11A,1418,277,450,336,478,355
ARHGAP11B,90,58,22,75,40,46
ARHGAP12,1535,1183,1415,1441,1585,1160
ARHGAP15,792,609,1101,441,814,470
ARHGAP17,5273,3603,5365,3094,4667,3650
ARHGAP18,9266,7435,7929,3985,12641,11015
ARHGAP19,716,859,405,613,731,1148
ARHGAP19-SLIT1,0,0,0,0,0,0
ARHGAP20,99,241,184,139,94,153
ARHGAP21,3400,3041,2931,4741,3001,2917
ARHGAP22,2147,1211,2076,2298,3275,1275
ARHGAP23,152,95,274,309,31,119
ARHGAP24,179,136,411,113,239,197
ARHGAP25,4368,4926,6165,5363,4596,4515
ARHGAP26,5792,4731,4935,3824,8233,6334
ARHGAP26-AS1,1,0,0,1,1,0
ARHGAP26-IT1,4,4,1,3,3,7
ARHGAP27,2016,3313,1028,5078,5044,5131
ARHGAP28,0,0,0,0,0,0
ARHGAP29,5,0,8,6,12,1
ARHGAP30,10450,13927,8570,12692,14183,16191
ARHGAP31,12578,19410,15238,13634,9996,24793
ARHGAP32,779,396,388,376,480,501
ARHGAP33,127,91,89,71,134,105
ARHGAP35,4380,2598,2705,2262,4998,3233
ARHGAP36,0,0,0,0,0,0
ARHGAP39,30,0,36,9,27,9
ARHGAP4,7164,1745,3010,1131,7184,1980
ARHGAP40,0,0,0,0,0,2
ARHGAP42,2,2,7,2,11,2
ARHGAP44,26,10,5,10,32,22
ARHGAP5,2670,2726,4589,4193,2786,3398
ARHGAP5-AS1,57,30,173,26,44,29
ARHGAP6,456,562,282,255,606,695
ARHGAP8,0,0,0,0,0,0
ARHGAP9,4423,2978,1585,1218,5757,4054
ARHGDIA,16638,14356,14537,12840,17880,14498
ARHGDIB,54361,31812,48741,12202,49437,35554
ARHGDIG,0,0,0,0,0,0
ARHGEF1,6772,6309,6170,5750,6528,7672
ARHGEF10,232,84,233,121,112,77
ARHGEF10L,4171,5668,2739,2987,4901,5409
ARHGEF11,8866,16614,7380,19744,9586,14088
ARHGEF12,1404,1711,2439,2756,954,1705
ARHGEF15,0,0,0,0,0,0
ARHGEF16,11,15,11,18,6,5
ARHGEF17,336,168,507,133,352,182
ARHGEF18,2795,2895,3109,3312,3344,3452
ARHGEF19,92,60,66,132,143,103
ARHGEF2,13885,22715,17212,23190,11229,21403
ARHGEF25,1,0,0,1,0,2
ARHGEF26,33,20,23,6,13,17
ARHGEF26-AS1,0,0,0,0,0,0
ARHGEF28,92,4,22,0,101,8
ARHGEF3,4002,3297,5298,2314,3340,3970
ARHGEF3-AS1,0,0,1,0,0,0
ARHGEF33,11,6,14,2,10,6
ARHGEF34P,6,22,15,48,7,8
ARHGEF35,6,5,27,70,24,22
ARHGEF37,20,3,169,16,23,9
ARHGEF38,4,1,3,5,0,1
ARHGEF38-IT1,0,0,0,0,0,0
ARHGEF39,200,46,51,50,72,41
ARHGEF4,0,0,6,3,0,0
ARHGEF40,2476,4039,4556,3986,3814,2743
ARHGEF5,32,61,66,164,25,61
ARHGEF6,3340,1964,2773,1664,3633,2106
ARHGEF7,3270,3506,3374,3688,3261,3814
ARHGEF9,1046,284,858,230,734,277
ARID1A,9387,9797,6898,8857,8876,10470
ARID1B,3459,2729,2752,3491,3482,2612
ARID2,2667,3740,2429,3930,2596,3859
ARID3A,1738,3222,2822,3345,2293,4112
ARID3B,304,1225,340,1482,636,1827
ARID3C,3,2,0,0,0,3
ARID4A,2306,3490,2231,3307,2180,3371
ARID4B,2233,4409,2305,5122,1990,4142
ARID5A,1969,5478,3776,5953,2446,5069
ARID5B,1007,5305,2612,7199,1223,4811
ARIH1,4418,4573,4655,4860,4471,4621
ARIH2,3756,3045,3135,2737,3417,3148
ARIH2OS,27,55,35,75,30,46
ARL1,3250,2017,3191,1765,2906,2120
ARL10,197,54,141,58,135,61
ARL11,1737,2116,1583,1336,1677,1886
ARL13A,8,13,9,11,11,8
ARL13B,605,832,400,757,575,934
ARL14,0,1,0,0,0,0
ARL14EP,1002,845,633,565,774,879
ARL14EPL,0,0,0,0,0,0
ARL15,1981,1496,2537,1245,1709,1430
ARL16,570,425,465,318,510,395
ARL17A,158,125,165,171,308,209
ARL17B,85,53,66,60,31,28
ARL2,964,423,613,395,711,337
ARL2-SNX15,0,8,0,5,0,8
ARL2BP,2737,2040,2828,2072,2662,2068
ARL3,670,500,770,382,837,627
ARL4A,580,1226,690,1440,312,835
ARL4C,1804,1584,357,1331,1311,667
ARL4D,52,20,15,23,61,36
ARL5A,3503,1454,2756,1344,2983,1441
ARL5B,1529,2568,1358,5226,1599,2472
ARL5C,0,0,0,1,1,1
ARL6,198,176,140,160,167,144
ARL6IP1,15321,13101,12523,13378,14588,14602
ARL6IP4,3372,1679,2748,1485,3575,1666
ARL6IP5,16561,17549,16264,15097,11469,15547
ARL6IP6,940,1010,639,1832,897,1235
ARL8A,3705,5581,3575,4861,4014,5394
ARL8B,9474,14798,13234,20060,11328,16411
ARL9,2,1,1,2,1,0
ARMC1,2098,1421,1804,1250,1840,1505
ARMC10,1863,852,1596,806,1837,934
ARMC12,1,13,3,1,2,25
ARMC2,100,27,88,45,101,26
ARMC2-AS1,2,2,0,2,0,0
ARMC3,0,0,0,0,0,0
ARMC4,2,0,1,2,0,0
ARMC4P1,0,0,0,0,1,0
ARMC5,744,713,579,772,634,613
ARMC6,1463,575,933,480,1200,641
ARMC7,793,436,603,524,1207,560
ARMC8,2406,2757,2087,2737,2619,3254
ARMC9,1962,6632,6661,14910,3179,6360
ARMCX1,532,438,387,1046,796,470
ARMCX2,120,64,71,324,163,103
ARMCX3,2344,2257,2691,1993,2910,2300
ARMCX4,304,231,342,158,287,267
ARMCX5,686,576,703,509,762,608
ARMCX5-GPRASP2,41,17,29,21,38,22
ARMCX6,506,208,480,288,718,279
ARMS2,4,0,2,0,2,2
ARNT,3370,4049,3283,4086,4183,4348
ARNT2,2,10,35,12,1,18
ARNTL,1529,1914,2114,1940,1401,2390
ARNTL2,1705,3961,1739,4397,639,3755
ARPC1A,2059,2361,2009,2390,2248,2605
ARPC1B,29550,22868,32677,18327,26261,21999
ARPC2,40998,36987,38217,30993,39605,37571
ARPC3,16554,15373,15127,12395,18898,16416
ARPC4,10717,8504,10327,6991,10080,8362
ARPC4-TTLL3,2,0,1,0,0,1
ARPC5,25369,24314,24611,20284,22517,23265
ARPC5L,1339,1052,1106,985,1014,1371
ARPP19,9104,6236,8156,8565,7309,5418
ARPP21,0,0,0,0,0,0
ARR3,41,42,28,35,31,39
ARRB1,14755,8549,13259,4597,12216,8438
ARRB2,15278,12330,14319,15585,17614,14723
ARRDC1,1698,1121,1076,1283,1867,1193
ARRDC2,2148,2073,1251,1543,2495,1850
ARRDC3,2190,6275,2273,8372,2819,5719
ARRDC3-AS1,39,44,46,57,59,42
ARRDC4,2057,5211,3851,5355,2449,6948
ARRDC5,27,42,11,39,53,27
ARSA,2281,3299,2252,3244,3009,2884
ARSB,7506,11750,7185,10586,7904,10769
ARSD,2520,3496,2616,3789,3576,3892
ARSE,4,0,3,0,0,0
ARSF,0,0,0,0,0,0
